,Year,Month,Coffee,Corn,Sugar
378,2021,7,204.5009091,278.4457556,17.7147619
379,2021,8,216.4345455,257.0207554,19.38363636
380,2021,9,225.5368182,235.8156036,19.26428571
381,2021,10,241.0733333,239.6024509,19.61904762
382,2021,11,258.9781818,248.7677461,19.74619048
383,2021,12,268.3291304,264.5731468,19.16727273
384,2022,1,271.0814286,276.7191782,18.461
385,2022,2,279.8335,292.671593,18.20315789
386,2022,3,258.9934783,335.9306842,19.10782609
387,2022,4,265.397619,348.507117,19.69904762
388,2022,5,260.4495455,344.9092996,19.28090909
389,2022,6,273.7636364,335.717134,18.79409091
390,2022,7,255.9066667,312.682042,18.34
391,2022,8,268.4834783,293.9307903,18.0626087
392,2022,9,267.4922727,312.5461279,18.18590909
393,2022,10,240.082381,343.5532833,18.30095238
394,2022,11,213.7181818,320.9296829,19.40590909
395,2022,12,210.3886364,302.2354051,20.065
396,2023,1,206.76,302.8399884,19.94318182
397,2023,2,229.506,298.2453034,21.4035
398,2023,3,222.663913,284.957405,20.96173913
399,2023,4,229.9555,291.1797449,24.582
400,2023,5,220.1213043,268.1725264,25.72956522
401,2023,6,207.385,266.9352396,24.76227273
402,2023,7,193.4942857,235.2719473,24.00809524
403,2023,8,186.3469565,207.6758887,24.19304348
404,2023,9,183.5890476,223.8476664,26.56380952
405,2023,10,183.9513636,221.9025188,26.90363636
406,2023,11,197.4331818,209.0402968,27.30954545
407,2023,12,210.3104762,207.3979689,22.14571429
408,2024,1,203.8791304,198.7579285,22.47478261
